28,28 Phan Bá Vành - 34 Nguyễn Văn Giáp,105,0102000020E61000000F0000005BD615067D715A40C6D473A7620F35405F4CE73A7F715A40E765672C520E354014190DE378715A405226E73AFD0D35403A6B21456A715A40954A3839920D354063789EC15C715A40EDBCA03F320D354019B612D632715A4029884E36310C354009DECC022A715A40FCBAE5D6170C3540804ADB5D00715A4046A370861E0B3540F7B6E9B8D6705A40E992CD92E90A3540E0F2007CC9705A40C03B3668D20A3540D5908CDDC2705A407AEF7BB1AA0A354095BF2624C3705A403AD4FB49860A35404C47B5E6BD705A40F9FD12C8600A3540BF870CBBB6705A40C0CE35CA400A3540F3F6FDD5AF705A4042539E15F9093540,go,27,26
29,34 Nguyễn Văn Giáp - 68 Phố Hồng Đô,105,0102000020E610000012000000B625981CB0705A4046539E15F90935408F89690C9A705A403298866F5C09354093FF3A419C705A402EB5B49CC80835400C71CC6498705A40AB9BE2FAEB07354009FBFA2F96705A4057EDB3A5BD073540657769C781705A40A82EE25C5A0735402B8D23AF60705A40C085CAFBD50635408FF534B050705A4089115618B706354006AC5DB94B705A400D51277E70063540936B06E552705A4076563E721A063540A2434CB85B705A40DF5B5566C40535409ECD7A8359705A40893755DC93053540F6D317E642705A40632E262EEC0435407F1DEFDC47705A40CFA90E579804354046C7DD2070705A40A52A0E74EE033540FD9886918F705A40C0F7C7476C0335404F47B5E6BD705A40E3B02485EE02354093D80683E4705A40A5BD0DD65C033540,go,28,27
30,68 Phố Hồng Đô - 37 Lê Quang Đạo,105,0102000020E610000005000000E44C6071E4705A402160D9485C033540DDAAD7B504715A402AE0B00EAA033540C88650CD31715A40C957157FCD03354053D5AA8C5C715A406A1F09D305033540C1C43D8365715A40F8C04ED7C5023540,go,29,28
31,37 Lê Quang Đạo - 56 Phố Đại Linh,105,0102000020E61000000C0000001139977165715A40B8EFE81DC6023540088246A669715A4069463D91BD023540C4D9059381715A401C75284C22023540371A5D677A715A407FDC045337013540AFD0857075715A40D809D673D8003540EB2B1AF572715A40725227FC9D0035406E44B79C74715A4034F20FAF7A003540980C9D3368715A40B609785CA1FF3440B6720E2C55715A40C3B9547717FF344017AF68A667715A40953183FDFCFE344015F4FF8B66715A4068641A9EE3FE34401E05B04C7D715A400368D440AAFE3440,go,30,29
32,56 Phố Đại Linh - 68 Đường Trung Văn,105,0102000020E61000000B000000CE90565E7D715A407E0AA0B3A9FE34408EF4424386715A406C2DD7177BFE3440D6A1061F94715A4074CF5FD35AFE34401898792FA6715A40AD8F15CC43FE34402BE69037B1715A401447C4437EFE3440763C517F24725A4058FE14A481FD344074CB021348725A40EB152CDD43FD34401C0AFD955D725A40DFF84E243CFD344003D5C5EC73725A40F08BFD1146FD3440609B4E3284725A40F6BC376149FD3440E4472036CF725A403800218100FE3440,go,31,30
33,68 Đường Trung Văn - 56 Lương Thế Vinh,105,0102000020E610000004000000E4472036CF725A403600218100FE3440C2368B6AD7725A40CAAB6C160CFE3440A05A483DE8725A4043D3E38BE3FD344060D3FC310D735A40090B4F6954FD3440,go,32,31
34,56 Lương Thế Vinh - 78 Nguyễn Trãi,105,0102000020E610000003000000A3A462EB0C735A40886883F654FD3440A0539E0D1D735A4080E8AB3007FD34402C8495A500735A40B5393A24B9FC3440,go,33,32
35,78 Nguyễn Trãi - 69 Nguyễn Trãi,105,0102000020E6100000050000001927FFA900735A4066C5E035B9FC34403DAF2BFEFB725A40E8B87086A8FC3440E03BF33DDE725A40A5631BB855FC344073F7831AE0725A40508935DC49FC34400B14234F06735A408D8F5274AFFC3440,go,34,33
36,69 Nguyễn Trãi - 39 Nguyễn Trãi,105,0102000020E6100000070000000B14234F06735A40B6497F6BAFFC3440D2141A5A07735A404938D63EB7FC3440749BF25C2F735A40F774338B27FD3440DD594B0435735A400EAFEDFC36FD34408FA05A3036735A4011E0274C3AFD3440E28A855338735A401556F9803CFD34408474A3A958735A408FDC9CFF92FD3440,go,35,34
37,39 Nguyễn Trãi - 19 Nguyễn Trãi,105,0102000020E61000000900000098D139A558735A408DDC9CFF92FD34405535268A61735A40E9C31A4DB0FD3440894127FE90735A4024E2DB2036FE344030C1A017A0735A40645FD02661FE3440A2364A8AA1735A40F0D9E16C69FE344032D250D8B6735A40C9EEC471A4FE3440F0D2F13B15745A40437C0BF79FFF34401B27DC9047745A400B25235824003540C7E89A9451745A404D0739D23A003540,go,36,35
38,19 Nguyễn Trãi - 18 Tây Sơn,105,0102000020E610000008000000C7E89A9451745A40FB92DFE33A003540E9A5198755745A40F6B7EC3A4D003540E75103AE61745A40DED4E4E873003540857073A28A745A4094747C27EC003540B604721496745A400A61624810013540610A02AA9D745A4078A63CE52E013540BA25671CA3745A4064D379DA4B0135408FBAD268AF745A40862E739FA6013540,go,37,36
39,18 Tây Sơn - 36 Lê Duẩn,105,0102000020E61000000E0000008DBAD268AF745A40852E739FA6013540932FDE49B0745A401442D7C9C0013540FF0E2CF9C2745A40D7DEC13254023540DF1E8C35D8745A40BE689F89ED023540B8424908E9745A405858AB215403354082D357EDEF745A40AA23B72F8A033540791D729B14755A4012A87D92790435408C26F2BD20755A408E712C4FCC0435405E5E0C272D755A4033C3AC85390535400D317BEB4D755A405D229C7B540635402ECDA9FB63755A40889F3F0D1B073540DCE3E95182755A408C941125C7073540526C1978DB755A40F6D53FDC63073540F5CA9D89DD755A4066E55C6159073540,go,38,37
40,36 Lê Duẩn - 44 Trần Phú,105,0102000020E61000000D0000006E9CD28BDD755A40DF13E34659073540ACB2CF2ADC755A401E3A252D4E073540760F52C5DB755A401CB0AC1612073540AD2AD22C00765A40D6017EC1E30635402D23E54515765A40B0341562CA06354086A36B2C06765A40177098F9380735405244BF5803765A40B969FB964F073540D191AE9E0D765A401D4D61956707354076AB9BCA10765A404681C15BAD073540C784162DFC755A4020A57E2EBE0735406CADDD26D5755A408FEA58CBDC07354058A3F28AA8755A404032D370FE073540CC271BF19E755A40D3DD1E060A083540,return,39,38
41,44 Trần Phú - 37 Đào Tấn,105,0102000020E610000009000000CD271BF19E755A40FB974BFD090835405AB2717E9D755A40FF95BF55070835404CB2DDE720755A4074207B23630835408CA1F73CCC745A401738925C25083540558677D5A7745A40F756CC66100835404F9AD46BA3745A40F811358111083540FA67D1F640745A40AFED34F7E0073540ED8F8B2338745A40A7462973DB073540DACBA2E62A745A400E5BC9C0F6073540,return,40,39
42,37 Đào Tấn - 105 Đường Bưởi,105,0102000020E610000009000000B31176EF2A745A404E2C2F7AF6073540BD5069DE21745A4049FBF42AF3073540CC1111AFCD735A40313E65A94C0835401D40683EAE735A40E7FBB083700835406CB356B38D735A40663B3175C5083540AB84BC6C8D735A400F21377CE0083540A2788F749C735A40964C5AD739093540CEDB5397A4735A40D884B7F765093540C52403CCA8735A40DF61809394093540,return,41,40
43,105 Đường Bưởi - 68 Võ Chí Công,105,0102000020E610000016000000890D40D9A8735A402FD6D98194093540A5DE1B62A8735A404702259FEE093540200B16A0A5735A40E7226B86580A354092D59B3F9C735A4088FE1988C30A3540911A33259B735A40714360F95D0B3540CD75C7A998735A40FAE45489B90B3540911A33259B735A402B143287D90B3540CBBA5E8F97735A406D4C8FA7050C35406DA3116C97735A406BC7E3A42D0C35406872D71C94735A406A0C7B8A2C0C3540722928E88F735A402DB1E6052F0C3540CD0F3BBC8C735A4077E4C05D350C35401BC92B908B735A40C9BEA639410C3540A267DFB385735A406AA92F09820C35407DF0BDFA81735A4076B732F4B30C35402BC1FBF180735A40DD106A27CE0C35406B9261AB80735A400ACA75F0EB0C354009C0AB6D7F735A405F0B5333240D354098056B157F735A40C078E7FC390D3540C733DD997E735A40EE89105FAE0D3540284B2ABD7E735A40CC6CE231420E354067D8BEE480735A402478025D510E3540,return,42,41
44,68 Võ Chí Công - 39 Võ Chí Công,105,0102000020E61000000D0000007B3555E080735A402478025D510E35401C62D94E7E735A40A3C5F1A25B0E3540C733DD997E735A40CCDA3254D50E3540C833DD997E735A4027A5677F670F3540E7BE5BE97D735A406B982DBA940F3540B890E9647E735A40345FF9B6C40F35407C3555E080735A40FC25C5B3F40F3540DEC2733883735A406DE17085151035400F5772AA8E735A402606B4C665103540A588D4BB92735A408CA482DF7E1035401AB9E64895735A40E625743F90103540759FF91C92735A40FF1A97CBA0103540B38230C58A735A4038BA57BC7C103540,return,43,42
45,39 Võ Chí Công - 28 Hoàng Minh Thảo,105,0102000020E6100000080000008248E1C18A735A4037BA57BC7C103540AC01486589735A408DC40C6E6B103540B4E3E97080735A4038832F2B331035409137761974735A400168AFC30E103540BEFF5BB067735A400168AFC30E103540D9139E5144735A4000AD46A90D1035409D1D2B4132735A4082C5E3500F1035408DCF133927735A4012B6C6CB19103540,return,44,43
46,28 Hoàng Minh Thảo - 37 Đỗ Minh Nhuận,105,0102000020E6100000080000007A727D3D27735A403870F3C2191035408055E59C1F735A409621B4F80D1035400F35185713735A409B97852D1010354044A409720C735A40AF5B6E6A1D103540F63FF5CA02735A4093F079A90A103540C62ECC688E725A40A0C8BF7C13103540875D66AF8E725A4084DCCB9EAA10354091F135CB7A725A40D6FD1E53F6103540,return,45,44
47,37 Đỗ Minh Nhuận - 95 Phạm Văn Đồng,105,0102000020E61000000B00000091F135CB7A725A40D6FD1E53F61035404979C48D75725A4000A67A5BFD1035409488B2BC4B725A40AB39E5A1841135402CCA591546725A40E5CA363EAB1135404ECBA99947725A4054BC9F27F5113540B68902414D725A4086C29AA115133540A8A177264E725A400FB800E5451335409D2FBE4051725A40CFD7C05D7013354091BD045B54725A4085950C38941335400864E81C59725A4032AC4C8EB2133540D1398EE75E725A40467035CBBF133540,return,46,45
48,95 Phạm Văn Đồng - 38 Phố Kẻ Giàn,105,0102000020E61000000B00000081C534F95E725A40467035CBBF133540F33ADE6B60725A402E27A18BDA133540E0CC3CD568725A403A35A4760C1435405663DB4F77725A40EA5E6A8082143540FAC15F6179725A409A3013F1A1143540FFF299B07C725A4039B4A459B6143540194DDEB078725A405C0B3C84CD143540AD18B4D470725A40D4C1648DC8143540BB551B1C65725A40C2B8E46ABC14354020485BE852725A40468CEA2CBF14354076FD336D4C725A4020B0A7FFCF143540,return,47,46
49,38 Phố Kẻ Giàn - 27 Tần Xuân,105 ,0102000020E61000000900000076FD336D4C725A40BF985ADCCF1435406C9BBFCE45725A40059BFAE4D2143540A73BEB3842725A407445F6F5DC143540FFDEF2CE42725A40895F26D9FF1435402225DA3843725A40E88723BD1615354067AF1C6541725A400C44DC5B191535402468E5763F725A40EA428CD717153540F37E0AD83E725A409B88308AF814354018C3659A3C725A402F5406AEF0143540,return,48,47
50,27 Tần Xuân - 27 Đường Bờ Tây Sông Nhuệ,105,0102000020E61000000D0000006937BF883C725A40519AED17F114354084C4C97F3E725A408C3A1982ED1435404C67A9533E725A40BBBD6733E21435402800CDE130725A405DB7CAD0F8143540D413CCCBED715A406451D2796915354042688036E2715A40FB2D585E781535404D2F1649D4715A40F8B7862976153540128E7F65B7715A4007B0568B6B1535408FCABEEAAA715A4083DC50C968153540DE3C42E669715A40A48759A75415354077E30AB34F715A401FB453E5511535409B9FC35152715A408C4D9F3545153540B0FB93F950715A40416E369113153540,return,49,48
51,27 Đường Bờ Tây Sông Nhuệ - 109 Đường Bờ Tây Sông Nhuệ,105,0102000020E61000000A000000B2FB93F950715A40F0F9DCA213153540EA14E39353715A4071ACED5C0915354024A277BB55715A40D88624AD79143540A8757D7D58715A40911D8D3D4A143540265DE0D556715A40D5915295CD133540AA30E69759715A40502198547513354034F08EC360715A40B37822DCB9113540B7082C6B62715A402C4DFF80601135403BDC312D65715A402A139683B5103540F120B5B163715A40DF332DDF83103540,return,50,49
52,109 Đường Bờ Tây Sông Nhuệ - 61 Đường Tây Thăng Long,105,0102000020E610000008000000ED20B5B163715A40811CE0BB831035403B52036267715A40608F8B79431035406B3BDE0068715A40627782FDC50F3540CD62706B5E715A409C17AE67C20F3540A8A54C533B715A40E00A74A2EF0F3540AD3BA8162A715A40818E050B04103540F2F745C00D715A40A916D7841E103540ECB55BB0F3705A4091238AEB4E103540,return,51,50
